nct_id,start_date,status,phase,study_type,brief_title,official_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose,allocation,intervention_model,observation_model,masking,design_description,study_description,outcome_description,outcome_measure,facilities_and_contacts,central_contacts
NCT04329832,2020-03-30,Recruiting,Phase 2,Interventional,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19,Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19 (HAHPS): A Prospective Pragmatic Trial,COVID-19,Azithromycin;Hydroxychloroquine,All,18,,No,84107,Treatment,Randomized,Parallel Assignment,,None (Open Label),,       This study will compare two drugs (hydroxychloroquine and azithromycin) to see if       hydroxychloroquine is better than azithromycin in treating hospitalized patients with       suspected or confirmed COVID-19.     ,"Per https://www.who.int/blueprint/priority-diseases/key-action/COVID-19_Treatment_Trial_Design_Master_Protocol_synopsis_Final_18022020.pdf, this scale reflects a range from uninfected to dead, where 0 is no clinical or virological evidence of infection, 1 is no limitation of activities, 2 is limitation of activities, 3 is hospitalized, no oxygen therapy, 4 is oxygen by mask or nasal prongs, 5 is non-invasive ventilation or high-flow oxygen, 6 is intubation and mechanical ventilation, 7 is ventilation + additional organ support - pressors, RRT (renal replacement therapy), ECMO (extracorporeal membrane oxygenation), and 8 is death.",COVID Ordinal Outcomes Scale at 14 days,"Intermountain Medical Center; Murray; Utah; 84107; Valerie T Aston, MD MS; Valerie.Aston@imail.org; 801-507-4606","Valerie T Aston, MBA; 8015074606; Valerie.Aston@imail.org"
NCT04318444,2020-03-29,Recruiting,Phase 2/Phase 3,Interventional,Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19),Hydroxychloroquine Post Exposure Prophylaxis (PEP) for Household Contacts of COVID-19 Patients: A NYC Community-Based Randomized Clinical Trial,Corona Virus Infection|COVID-19,Hydroxychloroquine;Placebo oral tablet,All,18,,Accepts Healthy Volunteers,10032,Prevention,Randomized,Parallel Assignment,,Quadruple,"       COVID-19 is a massive threat to public health worldwide. Current estimates suggest that the       novel coronavirus (SARS-CoV-2) is both highly contagious (estimated reproductive rate, 2-3)       and five to fifty-fold more lethal than seasonal influenza (estimated mortality rate,       0.5-5%). Interventions to decrease the incidence and severity of COVID-19 are emergently       needed.       Hydroxychloroquine (brand name, Plaquenil), an inexpensive anti-malarial medication with       immunomodulatory effects, is a promising therapy for COVID-19. Chloroquine, a related       compound with a less favorable toxicity profile, has shown benefit in clinical studies       conducted in approximately one-hundred SARS-CoV-2 infected patients. In vitro,       hydroxychloroquine has been recently shown to have greater efficacy against SARS-CoV-2 versus       chloroquine.       Currently, there is no established post-exposure prophylaxis for persons at high risk of       developing COVID-19. Hydroxychloroquine (brand name, Plaquenil), is a medicine that has been       found to be effective against the novel coronavirus in some recent experiments. Previously,       hydroxychloquine has been safety used to prevent malaria or to treat autoimmune diseases.       This study will test if hydroxychloroquine may be used to prevent the development of COVID-19       symptoms in persons who live with an individual who has been diagnosed with COVID-19. If       hydroxychloroquine is shown to reduce the risk of developing symptoms of COVID-19 among       people at high risk of infection, this could help to reduce the morbidity and mortality of       the COVID-19 epidemic.       This is a trial of hydroxychloroquine PEP among adult household contacts of COVID-19 patients       in New York City (NYC). The trial will be initiated at NewYork-Presbyterian (NYP)/Columbia       University Irving Medical Center (CUIMC).     ",       The purpose of this study is to test the hypothesis that post-exposure prophylaxis with       hydroxychloroquine will reduce the symptomatic secondary attack rate among household contacts       of known or suspected COVID-19 patients.     ,"This is defined as either 1. COVID-19 infection confirmed within 14 days of enrollment, following self-report of COVID-19 symptoms to the research study; OR, 2. COVID-19 infection confirmed within 14 days of enrollment, with self-report of COVID-19 symptoms to a treating physician.","Number of participants with symptomatic, lab-confirmed COVID-19.","Columbia University Irving Medical Center; New York; New York; 10032; Jon T. Giles, MD; jtg2122@cumc.columbia.edu; 212-305-2447","Jon T. Giles, MD; 212-305-2447; jtg2122@cumc.columbia.edu"
NCT04347993,2020-03-27,Recruiting,,Observational [Patient Registry],"A Prospective '"Universal'" Observational Database for COVID-19",Real World Observational Database for COVID-19 Treatment and Outcomes,COVID-19,,All,,,No,07601,,,,Case-Only,,"       The principle objective of this observational database is to build research-grade real world       data that will serve as platform to advance the scientific understanding and clinical care of       patients with COVID-19.       1. Demographic, diagnostic, treatment and outcome data from centers throughout the Hackensack       Meridian Health Network will be abstracted from the electronic health records of patients       with confirmed or suspected COVID-19. This will be purely observational and no direction as       to the care of the patient will be performed as part of this effort.       1a. Data points to be collected will include, but are not limited to: age, gender, zip code,       prior evaluation for COVID-19, tobacco history, race, site of care, healthcare worker,       nursing home care, visits to ER, presenting features of fever/ cough/ dyspnea/       gastrointestinal/ mental status changes, days of symptoms, comorbidities, uses of       antihypertensives, duration of hospitalization/ icu care, presenting laboratory functions,       presenting vital signs, need for oxygen support, dialysis/ ecmo use, treatment with       hydroxychloroquine/ azithromycin/ remdesevir/ tociluzimab/ anti-inflammatory agents,       arrhythmias/ QTc prolongation, enrollment on clinical trial, positive cultures, survival and       cause of death. Additional data points will be added as needed.       2. The data will be entered into a central Universal database hosted within the REDCap       system (HIPAA compliant, secure, access only per HMH research approval)       3. A de-identified dataset will be sent to COTA for primary statistical analysis as requested       by the research teams. COTA will also make available a data/analytic visualization tool       (hosted on Tableau) for analysis by primary investigators.       4. Additional data points and analysis may be added to the Universal database as requested by       HMH investigators with IRB approval. De-identified data may also be sent directly to HMH       investigators for their own analysis with IRB approval of their projects 5. Data will be made       available to governmental agencies as requested.     ","       The Hackensack Meridian Health Universal Observational COVID-19, a descriptive observational       database, is a multi-center initiative collecting data throughout the Hackensack Meridian       Health Network (HMH). HMH utilizes the EPIC system at most of the facilities, which will       serve as the primary data source. The database will be designed within the REDCap system. A       de-identified dataset will be sent to COTA for primary statistical analysis as requested by       the research teams.     ",The duration of ICU/Ventilator Support is defined as the time in days from the first day of using mechanical ventilation/ICU admission to the last day of using mechanical ventilation/ICU discharge. All evaluable patients will be included and no censoring for this analysis.,Overall Survival,Hackensack Meridian Health - John Theurer Cancer Center; Hackensack; New Jersey; 07601; Brittany Sinclaire; Brittany.Sinclaire@HackensackMeridian.org; 551-996-8073,Brittany Sinclaire; 551-996-8073; Brittany.Sinclaire@HackensackMeridian.org
NCT04352764,2020-03-27,Recruiting,,Observational [Patient Registry],ANTIBODY BASED TESTS FOR SARSCoV-2 COVID-19) - Evaluation of Patients and Healthcare Providers in the Confines of Healthcare Settings,Use of the ANTIBODY BASED LATERAL FLOW IMMUNOASSAY TESTS FOR SARSCoV-2 THAT CAUSES CORONAVIRUS DISEASE 2019 (COVID-19) - Evaluation of Patients and Healthcare Providers in the Confines of Healthcare Settings,Covid19,CoronaCideTM COVID-19 IgM/IgG Rapid Test and Premier Biotech COVID-19 IgM/IgG Rapid Test,All,,,Accepts Healthy Volunteers,78705,,,,Case-Control,,"       This study will be conducted as a registry to identify asymptomatic or symptomatic persons to       determine whether they carry SARS-CoV-2 antibodies. The blood test data will be collected as       allowed by the EUA using the CoronaCideTM COVID-19 IgM/IgG Rapid Test and the Premier Biotech       COVID-19 IgM/IgG Rapid Test. Both COVID-19 IgM/IgG Rapid Tests are intended for       Over-The-Counter/Professional use as a screening aid in the diagnosis of primary and       secondary SARSCoV-2 infections, and are only for use under the FDA''s EUA.       The RNA test data will be collected via a nasopharyngeal swab and processed using the Abbott       ID NOW COVID-19 diagnostic test.     ",       This study will be conducted as a registry to identify asymptomatic or symptomatic persons to       determine whether they carry SARS-CoV-2 antibodies.     ,"To evaluate the prevalence of COVID-19 exposure to healthcare staff, community 1st responders and patients. and patient population within a subspecialty",prevalence of COVID-19 exposure,"St. David''s Medical Center; Austin; Texas; 78705; Andrea Natale, MD FACC FHRS; dr.natale@gmail.com","Andrea Natale, MD; 512-544-8186; dr.natale@gmail.com"
NCT04340557,2020-03-27,Recruiting,Phase 4,Interventional,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,Randomized Open Label Study of Standard of Care Plus an Angiotensin II Receptor Blocker Compared to Standard of Care Alone to Minimize the Progression to Respiratory Failure in SARS-CoV-2 Infection,SARS-CoV Infection,Losartan,All,18,,No,91911|91942|92118|92123,Prevention,Randomized,Parallel Assignment,,None (Open Label),"       This is an investigator initiated, open label, multicenter, two arm, randomized study to       compare the impact of adding an ARB to the Standard of Care (SOC) to the SOC without an ARB.       Randomization ratio will be 1:1. The goal of this study is to identify whether or not ARBs       have an impact on inhibiting the progression to respiratory failure requiring mechanical       ventilation in patients with mild to moderate hypoxia in the setting of COVID-19. The       addition of an ARB to the standard of care treatment for these patients may be beneficial in       abating acute lung injury in patients in early stages of SARSCoV-2 induced hypoxia.     ","       The purpose of this research is to identify whether or not Angiotensin Receptor Blockers       (ARB) can halt the progression to respiratory failure requiring transfer into the intensive       care unit (ICU), as well as halt mechanical ventilation in subjects with mild to moderate       hypoxia due to the corona virus that causes COVID-19. Based on previous animal studies, the       researchers hypothesize that the addition of an ARB is beneficial in abating acute lung       injury in subjects in early stages of SARS-CoV-2 viral induced hypoxia.     ",Number of subjects requiring transfer into ICU for mechanical ventilation due to respiratory failure,Mechanical ventilation,"Sharp Chula Vista Medical Center; San Diego; California; 91911; Cary Murphy, RN; cary.murphy@sharp.com; 619-740-4363|Sharp Coronado Hospital; San Diego; California; 92118; Cary Murphy, RN; Cary.Murphy@sharp.com; 619-740-4363|Sharp Grossmont Hospital; La Mesa; California; 91942; Cary Murphy, RN; cary.murphy@sharp.com; 619-740-4363|Sharp Memorial Hospital; San Diego; California; 92123; Matthew Geriak, PharmD; matthew.geriak@sharp.com; 858-939-3717",Katie Miller; (858) 939-7162; kathryn.miller@sharp.com
NCT04326452,2020-03-27,Recruiting,N/A,Interventional,Treating COVID-19 With a Bidirectional Oxygenation Valve,The Use of a Bidirectional Oxygenation Valve in the Management of Respiratory Failure Due to COVID-19 Infection,Coronavirus Infection,bidirectional oxygenation mouthpiece,All,18,,No,30342|85712|94305,Treatment,,Single Group Assignment,,None (Open Label),       We have developed a simple and straightforward silicone rubber-made oral appliance that       promotes positive expiratory airway pressures with the potential to enhance respiratory       function while preventing and reversing atelectasis and hypoxia. The purpose of this study is       to compare the use of our bidirectional oxygenation mouthpiece with conventional oxygen       support versus conventional oxygen support of any Person Under Investigation for infection by       the COVID-19 virus.     ,"       This study will utilize a single center internal control study design. The objective of this       study is to determine the feasibility and safety of a bidirectional oxygenation PEEP       generating mouthpiece when combined with oxygen by non-rebreather face mask, compared to       support by oxygen non-rebreather face mask alone.     ",The primary endpoint for this feasibility study is pulse oximetry level after treatment with a Bidirectional Oxygenation Valve,Pulse oximetry level,"Emory Saint Joseph''s Hospital; Atlanta; Georgia; 30342; Sonya Mathewson, RN; sbmathe@emory.edu|Stanford University; Stanford; California; 94305; Ashvinder Khanna, MD; aashi@stanford.edu|TMC HealthCare; Tucson; Arizona; 85712; Natalia Elias Calles, MPH; research@tmcaz.com; 520-324-5512",""
NCT04345692,2020-03-26,Recruiting,Phase 3,Interventional,A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients,"A Randomized, Controlled Clinical Trial of the Safety and Efficacy of Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients",COVID-19,Hydroxychloroquine,All,18,95,No,96813,Treatment,Randomized,Parallel Assignment,,None (Open Label),"       The overall objective is to evaluate the clinical efficacy and safety of hydroxychloroquine       (HCQ) relative to standard of care among 350 hospitalized adult patients who have COVID-19.       Primary Aim i. Clinical status (on a 7-point ordinal scale) at day 15       Clinical Status 7-point ordinal scale:         1. Not hospitalized, no limitations on activities         2. Not hospitalized, limitation on activities         3. Hospitalized, not requiring supplemental oxygen         4. Hospitalized, requiring supplemental oxygen         5. Hospitalized, on non-invasive ventilation or high flow oxygen devices         6. Hospitalized, on invasive mechanical ventilation or ECMO         7. Death       After enrollment and randomization there will be baseline and then daily assessments of       clinical status and test results and procedures during hospitalization. Course of HCQ       treatment is 5 days. Participants are followed daily during hospitalization. All procedures,       evaluations and treatment, including the hydroxychloroquine laboratory tests, and radiology       tests are part of the usual clinical care for COVID-19 patients. This study will only collect       the information obtained as part of hospital standard of care. If the information is not       available, it will not be obtained by any other mechanism. After discharge there is a follow       up telephone call at day 15 and day 28. Follow-up assessment includes any clinical events,       adverse events, and clinic or emergency visits or hospitalizations. Participants in the HCQ       arm have safety labs: CBC and Comprehensive Metabolic profile scheduled on day 7 and 14.     ","       This study is a randomized, open label clinical trial to evaluate the safety and efficacy of       hydroxychloroquine (HCQ) plus usual care compared to usual care in approximately 350       hospitalized patients diagnosed with COVID-19. The study will be a 2-arm, non-blinded       comparison between open label hydroxychloroquine and usual care. The course of treatment       (HCQ) is five days. Participants will be followed to study day 28.     ","Clinical Status (on a 7-point ordinal scale) at day 15 Not hospitalized, no limitations on activities Not hospitalized, limitation on activities Hospitalized, not requiring supplemental oxygen Hospitalized, requiring supplemental oxygen Hospitalized, on non-invasive ventilation or high flow oxygen devices Hospitalized, on invasive mechanical ventilation or ECMO Death",i. Clinical status,"Queen''s Medical Center; Honolulu; Hawaii; 96813; Todd Seto, MD; tseto@queens.org; 808-354-3533","Todd Seto, MD; 808 354-3533; tseto@queens.org"
NCT04342195,2020-03-25,Recruiting,,Observational,Acquiring Convalescent Specimens for COVID-19 Antibodies,Acquiring Convalescent Specimens to Isolate and Identify Potent Monoclonal Antibodies Against COVID-19,Coronavirus Infection|Corona Virus Infection|COVID-19,Blood draw,All,18,65,No,10032,,,,Case-Only,,"       Coronavirus disease (COVID-19), an infectious disease caused by severe acute respiratory       syndrome coronavirus 2 (SARS-CoV-2), has caused over 1,273,712 infections and over 69,458       deaths worldwide. Columbia University Irving Medical Center/NewYork-Presbyterian (CUIMC/NYP)       has assembled a team of committed virologists, molecular biologists, chemists, and       technologists to address this emerging threat. Monoclonal antibodies have become great       additions to our therapeutic arsenal, primarily in treating cancer or autoimmune diseases.       Recently, the use of monoclonal antibodies in combating infections such as respiratory       syncytial virus and HIV have also become clear. In recent years, advanced cell sorting and       sequencing technologies have been utilized to identify neutralizing antibodies from human B       cells. This protocol will outline our approach to obtaining blood specimens from participants       who are recovering from COVID-19 infection. Potential participants will be referred by health       care providers from within the CUIMC/NYP system and from outside institutions. If the       potential participant agrees to be contacted, study staff will call them to review the       informed consent, eligibility criteria and study procedures, and set up a study visit for       blood draw. Monoclonal antibodies that could potently neutralize 2019 novel coronavirus       (2019-nCoV) and related coronaviruses will be isolated from these specimens. Candidate       monoclonal antibodies will then be optimized and evaluated for therapeutic potential. The       ultimate goal would be able to produce a monoclonal antibody that could confer protection       during an outbreak or be utilized to treat patients with severe COVID disease.     ","       Blood samples from participants who have recovered from COVID-19 infection will be obtained       and studied. The goal of the research is to identify antibodies that have been generated by       the patient to fight the COVID-19 infection. By identifying the most effective antibodies,       scientists can make specific antibodies to use to prevent future coronavirus outbreaks or to       treat patients with severe disease.     ","The blood specimen will be proceeded into peripheral blood mononuclear cells and plasma to be stored for testing. In brief, CD27+ memory B cells that can bind to a SARS-CoV-2 S protein bait will be sorted by flow cytometry and RNA will be extracted to obtain heavy and light chain sequences. Antibody sequences will be annotated using bioinformatics approaches, and candidate sequences will be cloned. Purified antibodies will be characterized and neutralization breadth and potency against SARS-CoV-2 and other related coronaviruses will be assessed using neutralization assays.",Number of antibodies against coronaviruses isolated and identified from patient samples,Columbia University Irving Medical Center/NYP; New York; New York; 10032; Brett Gray,"Yang Luo, PhD; 2123046205; yl4459@cumc.columbia.edu"
NCT04335123,2020-03-25,Recruiting,Phase 1,Interventional,Study of Open Label Losartan in COVID-19,An Open Label Phase 1 Trial of Losartan for Worsening Respiratory Illness in COVID-19,COVID-19,Losartan,All,18,,No,66160,Treatment,,Single Group Assignment,,None (Open Label),"       This is an open label, phase 1 clinical trial to evaluate the safety of losartan in       respiratory failure due to COVID-19.       Clinical Trial setup:       Detailed inclusion and exclusion criteria are listed below. Briefly, 50 patients with       COVID-19 and respiratory failure who meet criteria and agree to participation in the study       will be placed on losartan 25 mg daily on study day 0. If parameters are met the dose of       losartan will be increased to 50 mg once daily on study day 3. Participants will continue       losartan until they experience resolution of respiratory failure (normal oxygen levels on       room air), are discharged from the hospital, meet stoppage criteria (detailed below) or       complete 14 days of therapy.       Patients and/or surrogate decision maker who do not give consent to treatment will be asked       to allow collection of data from their medical record for use as a control group.       Stoppage criteria for losartan         -  Hyperkalemia (persistent values >5.5 mM recorded on at least 2 readings).         -  Worsening renal function (Cockcroft-Gault <30 mL/min/1.73 m2) or urinary output <20            mL/h.         -  Skin rashes, palpitations or other moderate or severe adverse events (interference with            usual daily activities) without clear explanation should warrant immediate cessation of            treatment and notification of study personnel.         -  Development of sustained hypotension defined as SBP <90 mmHg, DBP <60 mmHg recorded on            at least two readings 30 min apart or use of norepinephrine >0.1 µg/kg/min.         -  Any change in monitor lab parameters deemed significant and potentially related to study            drug by the Investigator.     ","       This is an open label, phase 1 clinical trial to evaluate the safety of losartan in       respiratory failure due to COVID-19.       Briefly, 50 patients with COVID-19 and respiratory failure who meet eligibility criteria and       agree to participation in the study will be placed on losartan 25 mg daily on study day 0. If       parameters are met the dose of losartan will be increased to 50 mg once daily on study day 3.       Participants will continue losartan until they experience resolution of respiratory failure       (normal oxygen levels on room air), are discharged from the hospital, meet stoppage criteria       (detailed below) or complete 14 days of therapy.       Patients and/or surrogate decision maker who do not give consent to treatment will be asked       to allow collection of data from their medical record for use as a control group. We will       also collect medical information relating to safety criteria on historical controls treated       at the University of Kansas Hospital in the 30 days prior to the study start date (3/25/2020)       and during the study period.     ","Safety will be reported based on Protocol defined AEs. For the purpose of this protocol, an AE will be defined as as any untoward medical occurrence in a subject during the study listed under DMSB - Anticipated Adverse Events and Grading Scale section of this protocol as well as safety monitoring data listed on protocol table 1 as well as stoppage criteria for losartan. The event does not necessarily have a causal relationship with the treatment. AEs will be collected for both study groups, treatment and control from the time the ICF is signed until the subject completes study participation.",Number of participants with treatment-related adverse events as assessed by protocol definition of AE,"University of Kansas Medical Center; Kansas City; Kansas; 66160; Matthias Salathe, MD; msalathe@kumc.edu; 913-588-6000","Matthias Salathe, MD; 9135886000; msalathe@kumc.edu"
NCT04327804,2020-03-25,Recruiting,,Observational,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,SARS-CoV Infection,Odd/Even birth year intervention groups,All,,,,98133,,,,Case-Only,,"       This work will serve both the Everett Clinic and broader UnitedHealth Group patient       populations as well as advance the public health emergency response to the community spread       of SARS-CoV-2 virus, especially as the number of cases and deaths continues to rise in many       geographies. A recent study conducted at The Everett Clinic showed that foam nasal swabs were       able to detect SARS-CoV-2 virus at comparable levels to nasopharyngeal (NP) swabs. We now       look to build off this work by comparing polyester foam swabs, which are more readily       available and mass producible, to foam nasal swabs, in their sensitivity for detecting       SARS-CoV-2 virus. We also plan to assess the viability of dry swabbing, where the swab is       stored without saline or viral transport media (VTM) at room temperature for four days, to       calculate the degradation of the viral sample.       Finally, we will collect up to 50 mL/visit of blood longitudinally from patients who have       previously tested positive for SARS-CoV-2 at visit one, two, and four weeks following their       initial COVID-10 diagnosis.The medical professional drawing the blood will determine if the       patient is at an increased risk from a blood draw due to underlying conditions such as       anemia. In these cases, the amount of blood drawn will be left to the discretion of the       medical professional but shall not surpass 10 mL per visit.These longitudinal blood samples       will help us gain a better understanding of the trajectory of COVID-19 (in terms of both       clinical symptomology and viral load) and antibody development. At each visit, nasal swabs       and blood samples will be collected, and the blood samples will be stored in a repository for       future research.     ",       Minimal risk research study:         1. Comparing polyester nasal swabs and foam nasal swabs to detect SARS-CoV-2 virus;         2. Quantifying the development and trajectory of the disease through clinic visits and            blood values.     ,"Measure the agreement between the detection of SARS-CoV-2 virus using a foam nasal swab tested directly after collection, a polyester nasal swab tested directly after testing, and a polyester nasal swab stored at room temperature for four days without saline or VTM before being tested.",Detection of SARS-CoV-2 virus,"Everett Clinic; Seattle; Washington; 98133; Yuan Po Tu, MD",Ethan Berke; 603/286-0376; ethan.berke@uhg.com
NCT04326309,2020-03-25,Recruiting,,Observational,Audio Data Collection for Identification and Classification of Coughing,Audio Data Collection for Identification and Classification of Coughing,Asthma|Chronic Obstructive Pulmonary Disease|Common Cold|Coronavirus Infections|COVID-19|Hay Fever|Healthy|Influenza|Respiratory Tract Infections,,All,18,,Accepts Healthy Volunteers,10461,,,,Cohort,,,       An open access study that will define and collect digital measures of coughing in multiple       populations and public spaces using various means of audio data collection.     ,"Size of collected audio dataset measured as number of collected cough sounds, targeting ≥10,000 identified coughs.",Dataset size,"Virtual Facility; Bronx; New York; 10461; Daniel R Karlin, MD, MA","Daniel R Karlin, MD, MA; +1 (201) 212-6643"
NCT04326036,2020-03-25,Enrolling by invitation,Early Phase 1,Interventional,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,Use of cSVF For Residual Lung Damage (COPD/Fibrotic Lung Disease After Symptomatic COVID-19 Infection For Residual Pulmonary Injury or Post-Adult Respiratory Distress Syndrome Following Viral (SARS-Co-2) Infection,COPD|Coronavirus Infection|Idiopathic Pulmonary Fibrosis|Interstitial Lung Disease|Pulmonary Alveolar Proteinosis|Viral Pneumonia,Centricyte 1000;IV Deployment Of cSVF In Sterile Normal Saline IV Solution;Liberase Enzyme (Roche);Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF);Sterile Normal Saline for Intravenous Use,All,18,90,No,59870,Treatment,Non-Randomized,Parallel Assignment,,None (Open Label),"       COVID-19 Viral Global Pandemic resulting in post-infection pulmonary damage, including       Fibrotic Lung Disease due to inflammatory and reactive protein secretions damaging pulmonary       alveolar structure and functionality. A short review includes:         -  Early December, 2019 - A pneumonia of unknown cause was detected in Wuhan, China, and            was reported to the World Health Organization (WHO) Country Office.         -  January 30th, 2020 - The outbreak was declared a Public Health Emergency of            International Concern.         -  February 7th, 2020 - 34-year-old Ophthalmologist who first identified a SARS-like            coronavirus) dies from the same virus.         -  February 11th, 2020 - WHO announces a name for the new coronavirus disease: COVID-19.         -  February 19th, 2020 - The U.S. has its first outbreak in a Seattle nursing home which            were complicated with loss of lives..         -  March 11th, 2020 - WHO declares the virus a pandemic and in less than three months, from            the time when this virus was first detected, the virus has spread across the entire            planet with cases identified in every country including Greenland.         -  March 11th, 2020 - As of this date, Over 60% of all COVID-19 deaths in the U.S. can be            traced to that single nursing home in Seattle.         -  March 11th, 2020 - Dr. Fauci from the National Institutes of Health (NIH) states, If            you count all the estimated cases of people who may have it but haven''t been diagnosed            yet, the mortality rate is probably closer to 1%, he said, which means it''s 10 times            more lethal than the seasonal flu.         -  March 21st, 2020 - The U.S. has 24,105 active cases, 301 deaths, and 171 patients            declared recovered, a number which has since massively increased within the United            States and Globally.         -  March 21st, 2020 - Emerging Infectious Disease estimates the risk for death in Wuhan            reached values as high as 12% in the epicenter of the epidemic and ≈1% in other, more            mildly affected areas. The elevated death risk estimates are probably associated with a            breakdown of the healthcare system, indicating that enhanced public health            interventions, including social distancing and movement restrictions, should be            implemented to bring the COVID-19 epidemic under control. March 21st 2020 -Much of the            United States is currently under some form of self- or mandatory quarantine as testing            abilities ramp up..       March 24th, 2020 - Hot spots are evolving and identified, particularly in the areas of New       York-New Jersey, Washington, and California       Immediate attention is turned to testing, diagnosis, epidemiological containment, clinical       trials for drug testing started, and work on a long-term vaccine started.       The recovering patients are presenting with mild to severe lung impairment as a result of the       viral attack on the alveolar and lung tissues. Clinically significant impairment of pulmonary       function appears to be a permanent finding as a direct result of the interstitial lung damage       and inflammatory changes that accompanied.       This Phase 0, first-in-kind for humans, is use of autologous, cSVF deployed intravenously to       examine the anti-inflammatory and structural potential to improve the residual damaged       tissues.       Previous utilization of cSVF remains in Clinical Trials at this moment for uses in Chronic       Obstructive Pulmonary Disease (COPD) and Idiopathic Pulmonary Fibrotic Lung disorders,       showing encouraging safety profile and clinical efficacy. It is the intention of this study,       driven by the ongoing pandemic as a direct causative etiology for permanent lung damage       within the oxygen/carbon dioxide exchange resulting the the direct alveolar disruption and       scarring reaction.       The inflammatory mediation, autoimmune modulatory capabilities, and revascularization       potentials of the cSVF is becoming well recognized and documented in peer-reviewed literature       and in scientific studies.       Due to the urgency presented from the ongoing CoronaVirus pandemic, many patients that       survive experience demonstrate direct pulmonary damage residua. There is available a relative       new technology offered by Fluidda Inc in European Union (EU) known as Functional Respiratory       Imaging (FRI) and examines pulmonary function and vascular capabilities in damaged lung       tissues. This study examines the lung baseline (post-infection), and at 3 and 6 month       intervals post-cSVF treatment to examine the functional airway configuration and efficiency       at those intervals.       Sporadic reports of use of stem cells or stem/stromal cells have revealed some positive       clinical outcomes, although not within a traditional randomized trial format at this point in       time. This study proposed in the specific situation of permanent residual dysfunction created       by the SARS-Co2 (Coronavirus) infection is felt to warrant a pilot study using the cSVF that       is in current Clinical Trials, which, at this point presents a very good safety profile with       the absence of adverse event (AE) or severe adverse events (SAE) as yet reported by the       trials.     ","       COVID-19 Viral Global Pandemic resulting in post-infection pulmonary damage, including       Fibrotic Lung Disease due to inflammatory and reactive protein secretions damaging pulmonary       alveolar structure and functionality. A short review includes:         -  Early December, 2019 - A pneumonia of unknown cause was detected in Wuhan, China, and            was reported to the World Health Organization (WHO) Country Office.         -  January 30th, 2020 - The outbreak was declared a Public Health Emergency of            International Concern.         -  February 7th, 2020 - 34-year-old Ophthalmologist who first identified a SARS-like            coronavirus) dies from the same virus.         -  February 11th, 2020 - WHO announces a name for the new coronavirus disease: COVID-19.         -  February 19th, 2020 - The U.S. has its first outbreak in a Seattle nursing home which            were complicated with loss of lives..         -  March 11th, 2020 - WHO declares the virus a pandemic and in less than three months, from            the time when this virus was first detected, the virus has spread across the entire            planet with cases identified in every country including Greenland.         -  March 21st, 2020 - Emerging Infectious Disease estimates the risk for death in Wuhan            reached values as high as 12% in the epicenter of the epidemic and ≈1% in other, more            mildly affected areas. The elevated death risk estimates are probably associated with a            breakdown of the healthcare system, indicating that enhanced public health            interventions, including social distancing and movement restrictions, should be            implemented to bring the COVID-19 epidemic under control. March 21st 2020 -Much of the            United States is currently under some form of self- or mandatory quarantine as testing            abilities ramp up..       March 24th, 2020 - Hot spots are evolving and identified, particularly in the areas of New       York-New Jersey, Washington, and California.       Immediate attention is turned to testing, diagnosis, epidemiological containment, clinical       trials for drug testing started, and work on a long-term vaccine started.       The recovering patients are presenting with mild to severe lung impairment as a result of the       viral attack on the alveolar and lung tissues. Clinically significant impairment of pulmonary       function appears to be a permanent finding as a direct result of the interstitial lung damage       and inflammatory changes that accompanied.       This Phase 0, first-in-kind for humans, is use of autologous, cellular stromal vascular       fraction (cSVF) deployed intravenously to examine the anti-inflammatory and structural       potential to improve the residual, permanent damaged alveolar tissues of the lungs.     ",Reporting of Adverse Events or Severe Adverse Events Assessed by CTCAE v4.0,Incidence of Treatment-Emergent Adverse Events,"Robert W. Alexander, MD, FICS, LLC; Stevensville; Montana; 59870",""
